List of names for archetypical parts of storyline of a modern pop/rock/edm songs, which contrasts each other:
- "Seductive intro", Part A: "a seductive and sultry melody draws the listener in", Part B: "the lyrics talk about a passionate and intense relationship", Part C: "the mood shifts as the singer realizes they are not truly in love"
- "Rise and fall", Part A: "the beat builds and intensifies, creating a sense of excitement and anticipation", Part B: "the lyrics tell a story of overcoming obstacles and achieving success", Part C: "the energy drops suddenly and the singer reflects on the sacrifices and struggles that came with their success"
- "Fun and games", Part A: "a carefree and lively melody sets the tone for a carefree party anthem", Part B: "the lyrics are about enjoying life and living in the moment", Part C: "the party comes to an end and the reality of responsibilities and consequences sink in"
- "Love at first sight", Part A: "a romantic and dreamy melody introduces the concept of falling in love at first sight", Part B: "the lyrics describe the intense feelings and desires that come with falling for someone instantly", Part C: "the singer wakes up from the fantasy and realizes
- "Struggle and triumph", Part A: "a slower and melancholic melody sets the scene for a character facing challenges and adversity", Part B: "the lyrics depict the struggles and hardships they have faced", Part C: "the pace picks up and the music becomes more triumphant as the character overcomes their struggles and achieves success"
- "Ups and downs", Part A: "a catchy and upbeat melody reflects the highs of a new relationship", Part B: "the lyrics delve into the challenges and conflicts that arise within the relationship", Part C: "the music slows down as the couple try to work through their problems and find a resolution"
- "Escape to paradise", Part A: "a tropical and laid-back beat transports the listener to a paradise destination", Part B: "the lyrics describe a desire to escape from reality and find solace in a beautiful location", Part C: "the singer comes back to reality and faces the consequences of leaving everything behind"
- "Rebellious spirit", Part A: "a rebellious and edgy guitar riff sets the rebellious tone of the song", Part B: "the lyrics speak of breaking rules and societal expectations", Part C: "the song ends with the realization that rebellion can have consequences"
- "Broken and mended", Part A: "a somber and melancholic melody reflects a heartbroken state", Part B: "the lyrics describe the pain and sadness of a broken relationship", Part C: "the tone shifts as the singer begins to heal and move on from the heartbreak"
- "Chase your dreams", Part A: "an uplifting and motivational melody encourages listeners to chase their dreams", Part B: "the lyrics tell a story of overcoming obstacles and pursuing one's passions", Part C: "the song concludes with a sense of fulfillment and the realization that the journey towards achieving dreams is never-ending."
- "Dark secrets", Part A: "a haunting and mysterious introduction sets the tone for secrets and deceit", Part B: "the lyrics reveal dark secrets and hidden motives among the characters", Part C: "the song ends with a sense of betrayal and the consequences of keeping secrets"
